index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
0,46042150,NV163,https://www.petfinder.com/dog/harley-46042150/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,American Staffordshire Terrier,Mixed Breed,White / Cream,Yellow / Tan / Blond / Fawn,,Senior,Male,Medium,Short,HARLEY,adoptable,2019-09-20T16:37:59+0000,Las Vegas,NV,89147,US,89009
1,46042002,NV163,https://www.petfinder.com/dog/biggie-46042002/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Mixed Breed,Brown / Chocolate,White / Cream,,Adult,Male,Large,Short,BIGGIE,adoptable,2019-09-20T16:24:57+0000,Las Vegas,NV,89147,US,89009
2,46040898,NV99,https://www.petfinder.com/dog/ziggy-46040898/nv/mesquite/city-of-mesquite-animal-shelter-nv99/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,,Brindle,,,Adult,Male,Large,Short,Ziggy,adoptable,2019-09-20T14:10:11+0000,Mesquite,NV,89027,US,89009
3,46039877,NV202,https://www.petfinder.com/dog/gypsy-46039877/nv/pahrump/pets-are-worth-saving-paws-nv202/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,,,,,Baby,Female,Large,,Gypsy,adoptable,2019-09-20T10:08:22+0000,Pahrump,NV,89048,US,89009
4,46039306,NV184,https://www.petfinder.com/dog/theo-46039306/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,,,,,Young,Male,Small,Long,Theo,adoptable,2019-09-20T06:48:30+0000,Henderson,NV,89052,US,89009
5,46039304,NV184,https://www.petfinder.com/dog/oliver-46039304/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,Beagle,,,,Baby,Male,Medium,Short,Oliver,adoptable,2019-09-20T06:43:59+0000,Henderson,NV,89052,US,89009
6,46039303,NV184,https://www.petfinder.com/dog/macadamia-46039303/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Italian Greyhound,Chihuahua,,,,Baby,Female,Small,Short,Macadamia,adoptable,2019-09-20T06:42:30+0000,Henderson,NV,89052,US,89009
7,46039302,NV184,https://www.petfinder.com/dog/dodger-46039302/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cattle Dog,,,,,Baby,Male,Medium,Medium,Dodger,adoptable,2019-09-20T06:40:08+0000,Henderson,NV,89052,US,89009
8,46039301,NV184,https://www.petfinder.com/dog/huckleberry-46039301/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cattle Dog,,,,,Baby,Female,Medium,Medium,Huckleberry,adoptable,2019-09-20T06:37:05+0000,Henderson,NV,89052,US,89009
9,46038709,NV184,https://www.petfinder.com/dog/fagin-46038709/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cattle Dog,,,,,Baby,Male,Medium,Medium,Fagin,adoptable,2019-09-20T05:00:51+0000,Henderson,NV,89052,US,89009
10,46038708,NV184,https://www.petfinder.com/dog/speckles-46038708/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cattle Dog,Hound,,,,Baby,Female,Medium,Medium,Speckles,adoptable,2019-09-20T04:59:44+0000,Henderson,NV,89052,US,89009
11,46038703,NV184,https://www.petfinder.com/dog/cashew-46038703/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Italian Greyhound,Chihuahua,,,,Baby,Female,Small,Short,Cashew,adoptable,2019-09-20T04:56:12+0000,Henderson,NV,89052,US,89009
12,46038700,NV184,https://www.petfinder.com/dog/dash-46038700/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cattle Dog,,,,,Baby,Male,Medium,Medium,Dash,adoptable,2019-09-20T04:54:11+0000,Henderson,NV,89052,US,89009
13,46038243,NV155,https://www.petfinder.com/dog/sydney-46038243/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Border Collie,,Black,White / Cream,,Adult,Female,Medium,Short,Sydney,adoptable,2019-09-20T03:04:00+0000,Las Vegas,NV,89103,US,89009
14,46038070,NV26,https://www.petfinder.com/dog/henna-46038070/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Female,Large,,HENNA,adoptable,2019-09-20T02:18:49+0000,Las Vegas,NV,89101,US,89009
15,46038064,NV26,https://www.petfinder.com/dog/rubo-46038064/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,,,,,Adult,Male,Extra Large,,RUBO,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009
16,46038065,NV26,https://www.petfinder.com/dog/lego-46038065/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Schnauzer,Mixed Breed,,,,Adult,Male,Medium,,LEGO,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009
17,46038067,NV26,https://www.petfinder.com/dog/marie-46038067/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Adult,Female,Large,,MARIE,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009
18,46038068,NV26,https://www.petfinder.com/dog/ringo-46038068/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,,,,,Young,Male,Large,,RINGO,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009
19,46038060,NV26,https://www.petfinder.com/dog/tony-46038060/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Male,Medium,,TONY,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009
20,46038062,NV26,https://www.petfinder.com/dog/duncan-46038062/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Male,Large,,DUNCAN,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009
21,46038063,NV26,https://www.petfinder.com/dog/o-and-number-39connor-46038063/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Adult,Male,Large,,O&#39;CONNOR,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009
22,46038061,NV26,https://www.petfinder.com/dog/cream-46038061/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Mixed Breed,,,,Baby,Male,Small,,CREAM,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009
23,46037951,NV155,https://www.petfinder.com/dog/kimberly-aka-freckles-46037951/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,Border Collie,"Tricolor (Brown, Black, & White)",,,Baby,Female,Medium,Short,Kimberly aka Freckles,adoptable,2019-09-20T02:14:12+0000,Las Vegas,NV,89103,US,89009
24,46037918,NV155,https://www.petfinder.com/dog/tina-46037918/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Border Collie,Black,Golden,White / Cream,Baby,Female,Medium,Short,Tina,adoptable,2019-09-20T02:05:53+0000,Las Vegas,NV,89103,US,89009
25,46037881,NV187,https://www.petfinder.com/dog/max-46037881/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cocker Spaniel,Beagle,,,,Senior,Male,Medium,,Max,adoptable,2019-09-20T01:59:01+0000,Las Vegas,NV,89103,US,89009
26,46037860,NV155,https://www.petfinder.com/dog/flower-46037860/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,Yellow / Tan / Blond / Fawn,,,Adult,Female,Small,Short,Flower,adoptable,2019-09-20T01:58:07+0000,Las Vegas,NV,89103,US,89009
27,46037820,NV155,https://www.petfinder.com/dog/sparky-46037820/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,White / Cream,,,Senior,Female,Small,Short,Sparky,adoptable,2019-09-20T01:48:49+0000,Las Vegas,NV,89103,US,89009
28,46037762,NV155,https://www.petfinder.com/dog/zoey-46037762/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,Golden,,,Senior,Female,Small,Short,Zoey,adoptable,2019-09-20T01:37:08+0000,Las Vegas,NV,89103,US,89009
29,46037742,NV187,https://www.petfinder.com/dog/cabby-46037742/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cocker Spaniel,,,,,Senior,Male,Medium,,Cabby,adoptable,2019-09-20T01:29:02+0000,Las Vegas,NV,89103,US,89009
30,46037637,NV26,https://www.petfinder.com/dog/woody-maxum-46037637/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Mixed Breed,,,,Adult,Male,Large,,WOODY MAXUM,adoptable,2019-09-20T01:18:34+0000,Las Vegas,NV,89101,US,89009
31,46037534,NV187,https://www.petfinder.com/dog/butch-46037534/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Senior,Male,Large,,Butch,adoptable,2019-09-20T01:14:09+0000,Las Vegas,NV,89103,US,89009
32,46036459,NV26,https://www.petfinder.com/dog/crockett-46036459/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,,,,,Young,Male,Large,,CROCKETT,adoptable,2019-09-19T23:18:14+0000,Las Vegas,NV,89101,US,89009
33,46035351,NV26,https://www.petfinder.com/dog/olga-46035351/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Adult,Female,Small,,OLGA,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009
34,46035350,NV26,https://www.petfinder.com/dog/sruffy-46035350/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Adult,Male,Small,,SRUFFY,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009
35,46035353,NV26,https://www.petfinder.com/dog/tonka-46035353/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Mixed Breed,,,,Adult,Male,Small,,TONKA,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009
36,46035346,NV26,https://www.petfinder.com/dog/bear-46035346/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Mixed Breed,,,,Young,Male,Small,,BEAR,adoptable,2019-09-19T21:17:29+0000,Las Vegas,NV,89101,US,89009
37,46035344,NV26,https://www.petfinder.com/dog/reuban-46035344/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pug,Mixed Breed,,,,Young,Male,Medium,,REUBAN,adoptable,2019-09-19T21:17:28+0000,Las Vegas,NV,89101,US,89009
38,46035342,NV26,https://www.petfinder.com/dog/ogie-46035342/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,,,,,Adult,Male,Small,,OGIE,adoptable,2019-09-19T21:17:28+0000,Las Vegas,NV,89101,US,89009
39,46034532,NV129,https://www.petfinder.com/dog/bella-46034532/nv/las-vegas/foreclosed-upon-pets-inc-fupi-nv129/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Dachshund,Black,,,Young,Female,Medium,Short,Bella,adoptable,2019-09-19T20:08:58+0000,Las Vegas,NV,89101,US,89009
40,46033962,NV26,https://www.petfinder.com/dog/alfred-46033962/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,,,,,Adult,Male,Large,,ALFRED,adoptable,2019-09-19T19:17:19+0000,Las Vegas,NV,89101,US,89009
41,46032651,NV163,https://www.petfinder.com/dog/minnie-46032651/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Mixed Breed,Black,White / Cream,,Senior,Female,Medium,Short,MINNIE,adoptable,2019-09-19T17:23:23+0000,Las Vegas,NV,89147,US,89009
42,46032592,NV26,https://www.petfinder.com/dog/jagger-46032592/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Mixed Breed,,,,Adult,Male,Small,,JAGGER,adoptable,2019-09-19T17:17:15+0000,Las Vegas,NV,89101,US,89009
43,46032594,NV26,https://www.petfinder.com/dog/marley-46032594/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Adult,Male,Large,,MARLEY,adoptable,2019-09-19T17:17:15+0000,Las Vegas,NV,89101,US,89009
44,46032595,NV26,https://www.petfinder.com/dog/lexi-46032595/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Female,Large,,LEXI,adoptable,2019-09-19T17:17:15+0000,Las Vegas,NV,89101,US,89009
45,46032596,NV26,https://www.petfinder.com/dog/hash-46032596/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Adult,Male,Large,,HASH,adoptable,2019-09-19T17:17:15+0000,Las Vegas,NV,89101,US,89009
46,46032588,NV26,https://www.petfinder.com/dog/gorilla-46032588/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Mixed Breed,,,,Adult,Male,Large,,GORILLA,adoptable,2019-09-19T17:17:14+0000,Las Vegas,NV,89101,US,89009
47,46032587,NV26,https://www.petfinder.com/dog/t-bone-46032587/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Male,Large,,T-BONE,adoptable,2019-09-19T17:17:14+0000,Las Vegas,NV,89101,US,89009
48,46032589,NV26,https://www.petfinder.com/dog/kale-46032589/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Cattle Dog / Blue Heeler,Mixed Breed,,,,Young,Female,Medium,,KALE,adoptable,2019-09-19T17:17:14+0000,Las Vegas,NV,89101,US,89009
49,46032253,NV163,https://www.petfinder.com/dog/sugar-46032253/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Poodle,Terrier,White / Cream,,,Adult,Female,Small,Medium,SUGAR,adoptable,2019-09-19T17:02:45+0000,Las Vegas,NV,89147,US,89009
50,46031946,AZ189,https://www.petfinder.com/dog/scooter-46031946/az/bullhead-city/animal-care-and-welfare-facility-az189/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,Chihuahua,Apricot / Beige,,,Young,Male,Small,Wire,SCOOTER,adoptable,2019-09-19T16:27:48+0000,Bullhead City,AZ,86442,US,89009
51,46031507,AZ189,https://www.petfinder.com/dog/sloth-46031507/az/bullhead-city/animal-care-and-welfare-facility-az189/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,American Bulldog,,White / Cream,Yellow / Tan / Blond / Fawn,,Adult,Male,Large,Short,SLOTH,adoptable,2019-09-19T16:22:19+0000,Bullhead City,AZ,86442,US,89009
52,46031797,NV26,https://www.petfinder.com/dog/arrow-46031797/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mastiff,,,,,Young,Male,Large,,ARROW,adoptable,2019-09-19T16:16:41+0000,Las Vegas,NV,89101,US,89009
53,46031796,NV26,https://www.petfinder.com/dog/tyler-46031796/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Mixed Breed,,,,Young,Male,Small,,TYLER,adoptable,2019-09-19T16:16:41+0000,Las Vegas,NV,89101,US,89009
54,46029444,NV39,https://www.petfinder.com/dog/bear-46029444/nv/las-vegas/nevada-society-for-the-prevention-of-cruelty-to-animals-nevada-spca-nv39/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,,,,Young,Male,Medium,,Bear,adoptable,2019-09-19T10:09:26+0000,Las Vegas,NV,89118,US,89009
55,46029446,NV39,https://www.petfinder.com/dog/mochi-46029446/nv/las-vegas/nevada-society-for-the-prevention-of-cruelty-to-animals-nevada-spca-nv39/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,,,,,Senior,Male,Small,,Mochi,adoptable,2019-09-19T10:09:26+0000,Las Vegas,NV,89118,US,89009
56,46028152,NV15,https://www.petfinder.com/dog/goldies-gus-46028152/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Pug,,,,Baby,Male,Small,,Goldie's Gus,adoptable,2019-09-19T04:07:26+0000,Las Vegas,NV,89136,US,89009
57,46027977,NV15,https://www.petfinder.com/dog/goldies-ginger-46027977/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Pug,,,,Baby,Female,Small,,Goldie's Ginger,adoptable,2019-09-19T03:58:53+0000,Las Vegas,NV,89136,US,89009
58,46027945,NV15,https://www.petfinder.com/dog/goldies-gilligan-46027945/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Pug,,,,Baby,Male,Small,,Goldie's Gilligan,adoptable,2019-09-19T03:40:43+0000,Las Vegas,NV,89136,US,89009
59,46027921,NV15,https://www.petfinder.com/dog/goldies-gabby-46027921/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Pug,,,,Baby,Female,Small,,Goldie's Gabby,adoptable,2019-09-19T03:32:41+0000,Las Vegas,NV,89136,US,89009
60,46027872,NV15,https://www.petfinder.com/dog/goldie-46027872/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Young,Female,Small,,Goldie,adoptable,2019-09-19T03:21:48+0000,Las Vegas,NV,89136,US,89009
61,46027804,NV186,https://www.petfinder.com/dog/vail-46027804/nv/las-vegas/the-churchill-foundation-nv186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Husky,,Black,Gray / Blue / Silver,White / Cream,Baby,Female,Large,Long,Vail,adoptable,2019-09-19T02:56:03+0000,Las Vegas,NV,89104,US,89009
62,46027303,NV26,https://www.petfinder.com/dog/freckles-46027303/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Female,Medium,,FRECKLES,adoptable,2019-09-19T02:15:29+0000,Las Vegas,NV,89101,US,89009
63,46026629,NV155,https://www.petfinder.com/dog/bella-46026629/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Poodle,,White / Cream,,,Young,Female,Small,Short,Bella,adoptable,2019-09-19T01:37:05+0000,Las Vegas,NV,89103,US,89009
64,46026616,NV15,https://www.petfinder.com/dog/blackie-46026616/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,,,,,Baby,Male,Small,,Blackie,adoptable,2019-09-19T01:29:18+0000,Las Vegas,NV,89136,US,89009
65,46026600,NV15,https://www.petfinder.com/dog/sophie-46026600/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Baby,Female,Small,,Sophie,adoptable,2019-09-19T01:26:39+0000,Las Vegas,NV,89136,US,89009
66,46026454,NV15,https://www.petfinder.com/dog/pixie-46026454/nv/las-vegas/a-path-4-paws-dog-rescue-nv15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Baby,Female,Small,,Pixie,adoptable,2019-09-19T01:25:40+0000,Las Vegas,NV,89136,US,89009
67,46026507,NV26,https://www.petfinder.com/dog/princess-46026507/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,,,,Adult,Female,Small,,PRINCESS,adoptable,2019-09-19T01:15:08+0000,Las Vegas,NV,89101,US,89009
68,46026395,NV155,https://www.petfinder.com/dog/doc-holiday-46026395/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cocker Spaniel,,Yellow / Tan / Blond / Fawn,,,Adult,Male,Medium,Short,Doc Holiday,adoptable,2019-09-19T01:05:44+0000,Las Vegas,NV,89103,US,89009
69,46026306,NV155,https://www.petfinder.com/dog/lilac-46026306/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Staffordshire Bull Terrier,,Red / Chestnut / Orange,White / Cream,,Baby,Female,Large,Short,Lilac,adoptable,2019-09-19T00:50:25+0000,Las Vegas,NV,89103,US,89009
70,46026195,NV155,https://www.petfinder.com/dog/jax-46026195/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Poodle,,Brown / Chocolate,,,Senior,Male,Small,Short,Jax,adoptable,2019-09-19T00:43:38+0000,Las Vegas,NV,89103,US,89009
71,46026170,NV68,https://www.petfinder.com/dog/taquito-46026170/nv/mesquite/we-care-for-animals-nv68/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,Brown / Chocolate,,,Young,Male,Small,Short,Taquito,adoptable,2019-09-19T00:32:29+0000,Mesquite,NV,89024,US,89009
72,46025014,NV212,https://www.petfinder.com/dog/atlas-46025014/nv/las-vegas/vegas-pet-rescue-project-nv212/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Jindo,,White / Cream,,,Baby,Male,Medium,Medium,Atlas,adoptable,2019-09-18T22:18:10+0000,Las Vegas,NV,89129,US,89009
73,46024779,NV212,https://www.petfinder.com/dog/trixie-46024779/nv/las-vegas/vegas-pet-rescue-project-nv212/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Corgi,Miniature Pinscher,Bicolor,,,Young,Female,Small,Short,Trixie,adoptable,2019-09-18T22:15:12+0000,Las Vegas,NV,89129,US,89009
74,46024627,NV212,https://www.petfinder.com/dog/lily-46024627/nv/las-vegas/vegas-pet-rescue-project-nv212/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Dachshund,Red / Chestnut / Orange,,,Senior,Female,Small,Short,Lily,adoptable,2019-09-18T22:10:36+0000,Las Vegas,NV,89129,US,89009
75,46023420,NV26,https://www.petfinder.com/dog/bentley-46023420/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,American Bulldog,Mixed Breed,,,,Adult,Male,Large,,BENTLEY,adoptable,2019-09-18T20:14:42+0000,Las Vegas,NV,89101,US,89009
76,46021809,NV26,https://www.petfinder.com/dog/shandy-46021809/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Mixed Breed,,,,Young,Female,Large,,SHANDY,adoptable,2019-09-18T18:14:18+0000,Las Vegas,NV,89101,US,89009
77,46021807,NV26,https://www.petfinder.com/dog/bianca-46021807/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Female,Large,,BIANCA,adoptable,2019-09-18T18:14:17+0000,Las Vegas,NV,89101,US,89009
78,46020352,AZ662,https://www.petfinder.com/dog/ara-46020352/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shar-Pei,,Yellow / Tan / Blond / Fawn,,,Adult,Female,Large,Short,Ara,adoptable,2019-09-18T16:42:58+0000,Kingman,AZ,86401,US,89009
79,46020343,AZ662,https://www.petfinder.com/dog/sofie-46020343/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Baby,Female,Large,Short,Sofie,adoptable,2019-09-18T16:39:27+0000,Kingman,AZ,86401,US,89009
80,46020326,AZ662,https://www.petfinder.com/dog/lala-46020326/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shar-Pei,,Yellow / Tan / Blond / Fawn,,,Adult,Female,Medium,Short,Lala,adoptable,2019-09-18T16:38:00+0000,Kingman,AZ,86401,US,89009
81,46020312,AZ662,https://www.petfinder.com/dog/maximus-46020312/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,Pit Bull Terrier,Brindle,,,Young,Male,Large,Short,Maximus,adoptable,2019-09-18T16:35:57+0000,Kingman,AZ,86401,US,89009
82,46020301,AZ662,https://www.petfinder.com/dog/bobbi-46020301/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,,Black,Brindle,,Young,Female,Medium,Short,Bobbi,adoptable,2019-09-18T16:33:54+0000,Kingman,AZ,86401,US,89009
83,46020258,AZ662,https://www.petfinder.com/dog/marty-46020258/az/kingman/mohave-county-animal-shelter-az662/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,,,,Adult,Male,Medium,Short,Marty,adoptable,2019-09-18T16:32:28+0000,Kingman,AZ,86401,US,89009
